Question,Answer,topic,split,Question_processed,Question_medical,Answer_processed,Answer_medical,source
What are the treatments for Acute Disseminated Encephalomyelitis ?,"Treatment for ADEM is targeted at suppressing inflammation in the brain using anti-inflammatory drugs. Most individuals respond to several days of intravenous corticosteroids such as methylprednisolone, followed by oral corticosteroid treatment. When corticosteroids fail to work, plasmapheresis or intravenous immunoglobulin therapy are possible secondary treatment options that are reported to help in some severe cases. Additional treatment is symptomatic and supportive.",Neurological_Disorders_Stroke,test,treatment acute disseminated encephalomyelitis,what are the treatments for acute disseminated encephalomyelitis,treatment adem targeted suppressing inflammation brain using antiinflammatory drug individual respond several day intravenous corticosteroid methylprednisolone followed oral corticosteroid treatment corticosteroid fail work plasmapheresis intravenous immunoglobulin therapy possible secondary treatment option reported help severe case additional treatment symptomatic supportive,treatment for adem is targeted at suppressing inflammation in the brain using anti-inflammatory drugs most individuals respond to several days of intravenous corticosteroids such as methylprednisolone followed by oral corticosteroid treatment when corticosteroids fail to work plasmapheresis or intravenous immunoglobulin therapy are possible secondary treatment options that are reported to help in some severe cases additional treatment is symptomatic and supportive,Neurological_Disorders_and_StrokeQA
What is the outlook for Acute Disseminated Encephalomyelitis ?,"Corticosteroid therapy typically helps hasten recovery from most ADEM symptoms. The long-term prognosis for individuals with ADEM is generally favorable. For most individuals, recovery begins within days, and within six months the majority of ADEM patients will have total or near total recoveries. Others may have mild to moderate lifelong impairment ranging from cognitive difficulties, weakness, loss of vision, or numbness. Severe cases of ADEM can be fatal but this is a very rare occurrence. ADEM can recur, usually within months of the initial diagnosis, and is treated by restarting corticosteroids. A small fraction of individuals who are initially diagnosed as having ADEM can go on to develop MS, but there is currently no method or known risk factors to predict whom those individuals will be.",Neurological_Disorders_Stroke,train,outlook acute disseminated encephalomyelitis,what is the outlook for acute disseminated encephalomyelitis,corticosteroid therapy typically help hasten recovery adem symptom longterm prognosis individual adem generally favorable individual recovery begin within day within six month majority adem patient total near total recovery others may mild moderate lifelong impairment ranging cognitive difficulty weakness loss vision numbness severe case adem fatal rare occurrence adem recur usually within month initial diagnosis treated restarting corticosteroid small fraction individual initially diagnosed adem develop currently method known risk factor predict individual,corticosteroid therapy typically helps hasten recovery from most adem symptoms the long-term prognosis for individuals with adem is generally favorable for most individuals recovery begins within days and within six months the majority of adem patients will have total or near total recoveries others may have mild to moderate lifelong impairment ranging from cognitive difficulties weakness loss of vision or numbness severe cases of adem can be fatal but this is a very rare occurrence adem can recur usually within months of the initial diagnosis and is treated by restarting corticosteroids a small fraction of individuals who are initially diagnosed as having adem can go on to develop ms but there is currently no method or known risk factors to predict whom those individuals will be,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Acute Disseminated Encephalomyelitis ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to ADEM in laboratories at the NIH, and also support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure demyelinating disorders such as ADEM.",Neurological_Disorders_Stroke,train,research clinical trial done acute disseminated encephalomyelitis,what research or clinical trials is being done for acute disseminated encephalomyelitis,national institute neurological disorder stroke ninds institute national institute health nih conduct research related adem laboratory nih also support additional research grant major medical institution across country much research focus finding better way prevent treat ultimately cure demyelinating disorder adem,the national institute of neurological disorders and stroke ninds and other institutes of the national institutes of health nih conduct research related to adem in laboratories at the nih and also support additional research through grants to major medical institutions across the country much of this research focuses on finding better ways to prevent treat and ultimately cure demyelinating disorders such as adem,Neurological_Disorders_and_StrokeQA
What is (are) Neuroleptic Malignant Syndrome ?,"Neuroleptic malignant syndrome is a life-threatening, neurological disorder most often caused by an adverse reaction to neuroleptic or antipsychotic drugs. Symptoms include high fever, sweating, unstable blood pressure, stupor, muscular rigidity, and autonomic dysfunction. In most cases, the disorder develops within the first 2 weeks of treatment with the drug; however, the disorder may develop any time during the therapy period. The syndrome can also occur in people taking anti-Parkinsonism drugs known as dopaminergics if those drugs are discontinued abruptly.",Neurological_Disorders_Stroke,train,neuroleptic malignant syndrome,what is are neuroleptic malignant syndrome,neuroleptic malignant syndrome lifethreatening neurological disorder often caused adverse reaction neuroleptic antipsychotic drug symptom include high fever sweating unstable blood pressure stupor muscular rigidity autonomic dysfunction case disorder develops within first week treatment drug however disorder may develop time therapy period syndrome also occur people taking antiparkinsonism drug known dopaminergics drug discontinued abruptly,neuroleptic malignant syndrome is a life-threatening neurological disorder most often caused by an adverse reaction to neuroleptic or antipsychotic drugs symptoms include high fever sweating unstable blood pressure stupor muscular rigidity and autonomic dysfunction in most cases the disorder develops within the first 2 weeks of treatment with the drug however the disorder may develop any time during the therapy period the syndrome can also occur in people taking anti-parkinsonism drugs known as dopaminergics if those drugs are discontinued abruptly,Neurological_Disorders_and_StrokeQA
What are the treatments for Neuroleptic Malignant Syndrome ?,"Generally, intensive care is needed. The neuroleptic or antipsychotic drug is discontinued, and the fever is treated aggressively. A muscle relaxant may be prescribed. Dopaminergic drugs, such as a dopamine agonist, have been reported to be useful.",Neurological_Disorders_Stroke,train,treatment neuroleptic malignant syndrome,what are the treatments for neuroleptic malignant syndrome,generally intensive care needed neuroleptic antipsychotic drug discontinued fever treated aggressively muscle relaxant may prescribed dopaminergic drug dopamine agonist reported useful,generally intensive care is needed the neuroleptic or antipsychotic drug is discontinued and the fever is treated aggressively a muscle relaxant may be prescribed dopaminergic drugs such as a dopamine agonist have been reported to be useful,Neurological_Disorders_and_StrokeQA
What is the outlook for Neuroleptic Malignant Syndrome ?,"Early identification of and treatment for individuals with neuroleptic malignant syndrome improves outcome. If clinically indicated, a low potency neuroleptic can be reintroduced very slowly when the individual recovers, although there is a risk that the syndrome might recur. Another alternative is to substitute another class of drugs for the neuroleptic. Anesthesia may be a risk to individuals who have experienced neuroleptic malignant syndrome.",Neurological_Disorders_Stroke,train,outlook neuroleptic malignant syndrome,what is the outlook for neuroleptic malignant syndrome,early identification treatment individual neuroleptic malignant syndrome improves outcome clinically indicated low potency neuroleptic reintroduced slowly individual recovers although risk syndrome might recur another alternative substitute another class drug neuroleptic anesthesia may risk individual experienced neuroleptic malignant syndrome,early identification of and treatment for individuals with neuroleptic malignant syndrome improves outcome if clinically indicated a low potency neuroleptic can be reintroduced very slowly when the individual recovers although there is a risk that the syndrome might recur another alternative is to substitute another class of drugs for the neuroleptic anesthesia may be a risk to individuals who have experienced neuroleptic malignant syndrome,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Neuroleptic Malignant Syndrome ?,The NINDS supports research on neurological disorders such as neuroleptic malignant syndrome. Much of this research focuses on finding ways to prevent and treat the disorder.,Neurological_Disorders_Stroke,test,research clinical trial done neuroleptic malignant syndrome,what research or clinical trials is being done for neuroleptic malignant syndrome,ninds support research neurological disorder neuroleptic malignant syndrome much research focus finding way prevent treat disorder,the ninds supports research on neurological disorders such as neuroleptic malignant syndrome much of this research focuses on finding ways to prevent and treat the disorder,Neurological_Disorders_and_StrokeQA
What is (are) Myoclonus ?,"Myoclonus refers to a sudden, involuntary jerking of a muscle or group of muscles. In its simplest form, myoclonus consists of a muscle twitch followed by relaxation. A hiccup is an example of this type of myoclonus. Other familiar examples of myoclonus are the jerks or ""sleep starts"" that some people experience while drifting off to sleep. These simple forms of myoclonus occur in normal, healthy persons and cause no difficulties. When more widespread, myoclonus may involve persistent, shock-like contractions in a group of muscles. Myoclonic jerking may develop in people with multiple sclerosis, Parkinson's disease, Alzheimer's disease, or Creutzfeldt-Jakob disease. Myoclonic jerks commonly occur in persons with epilepsy, a disorder in which the electrical activity in the brain becomes disordered and leads to seizures. Myoclonus may develop in response to infection, head or spinal cord injury, stroke, brain tumors, kidney or liver failure, lipid storage disease, chemical or drug poisoning, or other disorders. It can occur by itself, but most often it is one of several symptoms associated with a wide variety of nervous system disorders.",Neurological_Disorders_Stroke,test,myoclonus,what is are myoclonus,myoclonus refers sudden involuntary jerking muscle group muscle simplest form myoclonus consists muscle twitch followed relaxation hiccup example type myoclonus familiar example myoclonus jerk sleep start people experience drifting sleep simple form myoclonus occur normal healthy person cause difficulty widespread myoclonus may involve persistent shocklike contraction group muscle myoclonic jerking may develop people multiple sclerosis parkinson disease alzheimers disease creutzfeldtjakob disease myoclonic jerk commonly occur person epilepsy disorder electrical activity brain becomes disordered lead seizure myoclonus may develop response infection head spinal cord injury stroke brain tumor kidney liver failure lipid storage disease chemical drug poisoning disorder occur often one several symptom associated wide variety nervous system disorder,myoclonus refers to a sudden involuntary jerking of a muscle or group of muscles in its simplest form myoclonus consists of a muscle twitch followed by relaxation a hiccup is an example of this type of myoclonus other familiar examples of myoclonus are the jerks or sleep starts that some people experience while drifting off to sleep these simple forms of myoclonus occur in normal healthy persons and cause no difficulties when more widespread myoclonus may involve persistent shock-like contractions in a group of muscles myoclonic jerking may develop in people with multiple sclerosis parkinsons disease alzheimers disease or creutzfeldt-jakob disease myoclonic jerks commonly occur in persons with epilepsy a disorder in which the electrical activity in the brain becomes disordered and leads to seizures myoclonus may develop in response to infection head or spinal cord injury stroke brain tumors kidney or liver failure lipid storage disease chemical or drug poisoning or other disorders it can occur by itself but most often it is one of several symptoms associated with a wide variety of nervous system disorders,Neurological_Disorders_and_StrokeQA
What are the treatments for Myoclonus ?,"Treatment of myoclonus focuses on medications that may help reduce symptoms. The drug of first choice is clonazepam, a type of tranquilizer. Many of the drugs used for myoclonus, such as barbiturates, phenytoin, and primidone, are also used to treat epilepsy. Sodium valproate is an alternative therapy for myoclonus and can be used either alone or in combination with clonazepam. Myoclonus may require the use of multiple drugs for effective treatment.",Neurological_Disorders_Stroke,train,treatment myoclonus,what are the treatments for myoclonus,treatment myoclonus focus medication may help reduce symptom drug first choice clonazepam type tranquilizer many drug used myoclonus barbiturate phenytoin primidone also used treat epilepsy sodium valproate alternative therapy myoclonus used either alone combination clonazepam myoclonus may require use multiple drug effective treatment,treatment of myoclonus focuses on medications that may help reduce symptoms the drug of first choice is clonazepam a type of tranquilizer many of the drugs used for myoclonus such as barbiturates phenytoin and primidone are also used to treat epilepsy sodium valproate is an alternative therapy for myoclonus and can be used either alone or in combination with clonazepam myoclonus may require the use of multiple drugs for effective treatment,Neurological_Disorders_and_StrokeQA
What is the outlook for Myoclonus ?,"Simple forms of myoclonus occur in normal, healthy persons and cause no difficulties. In some cases, myoclonus begins in one region of the body and spreads to muscles in other areas. More severe cases of myoclonus can distort movement and severely limit a person's ability to eat, talk, or walk. These types of myoclonus may indicate an underlying disorder in the brain or nerves. Although clonazepam and sodium valproate are effective in the majority of people with myoclonus, some people have adverse reactions to these drugs. The beneficial effects of clonazepam may diminish over time if the individual develops a tolerance for the drug.",Neurological_Disorders_Stroke,train,outlook myoclonus,what is the outlook for myoclonus,simple form myoclonus occur normal healthy person cause difficulty case myoclonus begin one region body spread muscle area severe case myoclonus distort movement severely limit person ability eat talk walk type myoclonus may indicate underlying disorder brain nerve although clonazepam sodium valproate effective majority people myoclonus people adverse reaction drug beneficial effect clonazepam may diminish time individual develops tolerance drug,simple forms of myoclonus occur in normal healthy persons and cause no difficulties in some cases myoclonus begins in one region of the body and spreads to muscles in other areas more severe cases of myoclonus can distort movement and severely limit a persons ability to eat talk or walk these types of myoclonus may indicate an underlying disorder in the brain or nerves although clonazepam and sodium valproate are effective in the majority of people with myoclonus some people have adverse reactions to these drugs the beneficial effects of clonazepam may diminish over time if the individual develops a tolerance for the drug,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Myoclonus ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research relating to myoclonus in its laboratories at the National Institutes of Health (NIH) and also supports additional research through grants to major medical institutions across the country. Scientists are seeking to understand the underlying biochemical basis of involuntary movements and to find the most effective treatment for myoclonus and other movement disorders. Researchers may be able to develop drug treatments that target specific biochemical changes involved in myoclonus. By combining several of these drugs, scientists hope to achieve greater control of myoclonic symptoms.",Neurological_Disorders_Stroke,train,research clinical trial done myoclonus,what research or clinical trials is being done for myoclonus,national institute neurological disorder stroke ninds conduct research relating myoclonus laboratory national institute health nih also support additional research grant major medical institution across country scientist seeking understand underlying biochemical basis involuntary movement find effective treatment myoclonus movement disorder researcher may able develop drug treatment target specific biochemical change involved myoclonus combining several drug scientist hope achieve greater control myoclonic symptom,the national institute of neurological disorders and stroke ninds conducts research relating to myoclonus in its laboratories at the national institutes of health nih and also supports additional research through grants to major medical institutions across the country scientists are seeking to understand the underlying biochemical basis of involuntary movements and to find the most effective treatment for myoclonus and other movement disorders researchers may be able to develop drug treatments that target specific biochemical changes involved in myoclonus by combining several of these drugs scientists hope to achieve greater control of myoclonic symptoms,Neurological_Disorders_and_StrokeQA
What is (are) Reye's Syndrome ?,"Reye's syndrome (RS) is primarily a children's disease, although it can occur at any age. It affects all organs of the body but is most harmful to the brain and the liver--causing an acute increase of pressure within the brain and, often, massive accumulations of fat in the liver and other organs. RS is defined as a two-phase illness because it generally occurs in conjunction with a previous viral infection, such as the flu or chicken pox. The disorder commonly occurs during recovery from a viral infection, although it can also develop 3 to 5 days after the onset of the viral illness. RS is often misdiagnosed as encephalitis, meningitis, diabetes, drug overdose, poisoning, sudden infant death syndrome, or psychiatric illness. Symptoms of RS include persistent or recurrent vomiting, listlessness, personality changes such as irritability or combativeness, disorientation or confusion, delirium, convulsions, and loss of consciousness. If these symptoms are present during or soon after a viral illness, medical attention should be sought immediately. The symptoms of RS in infants do not follow a typical pattern; for example, vomiting does not always occur. Epidemiologic evidence indicates that aspirin (salicylate) is the major preventable risk factor for Reye's syndrome. The mechanism by which aspirin and other salicylates trigger Reye's syndrome is not completely understood. A ""Reye's-like"" illness may occur in children with genetic metabolic disorders and other toxic disorders. A physician should be consulted before giving a child any aspirin or anti-nausea medicines during a viral illness, which can mask the symptoms of RS.",Neurological_Disorders_Stroke,train,reyes syndrome,what is are reyes syndrome,reyes syndrome primarily childrens disease although occur age affect organ body harmful brain livercausing acute increase pressure within brain often massive accumulation fat liver organ defined twophase illness generally occurs conjunction previous viral infection flu chicken pox disorder commonly occurs recovery viral infection although also develop day onset viral illness often misdiagnosed encephalitis meningitis diabetes drug overdose poisoning sudden infant death syndrome psychiatric illness symptom include persistent recurrent vomiting listlessness personality change irritability combativeness disorientation confusion delirium convulsion loss consciousness symptom present soon viral illness medical attention sought immediately symptom infant follow typical pattern example vomiting always occur epidemiologic evidence indicates aspirin salicylate major preventable risk factor reyes syndrome mechanism aspirin salicylate trigger reyes syndrome completely understood reyeslike illness may occur child genetic metabolic disorder toxic disorder physician consulted giving child aspirin antinausea medicine viral illness mask symptom,reyes syndrome rs is primarily a childrens disease although it can occur at any age it affects all organs of the body but is most harmful to the brain and the liver--causing an acute increase of pressure within the brain and often massive accumulations of fat in the liver and other organs rs is defined as a two-phase illness because it generally occurs in conjunction with a previous viral infection such as the flu or chicken pox the disorder commonly occurs during recovery from a viral infection although it can also develop 3 to 5 days after the onset of the viral illness rs is often misdiagnosed as encephalitis meningitis diabetes drug overdose poisoning sudden infant death syndrome or psychiatric illness symptoms of rs include persistent or recurrent vomiting listlessness personality changes such as irritability or combativeness disorientation or confusion delirium convulsions and loss of consciousness if these symptoms are present during or soon after a viral illness medical attention should be sought immediately the symptoms of rs in infants do not follow a typical pattern for example vomiting does not always occur epidemiologic evidence indicates that aspirin salicylate is the major preventable risk factor for reyes syndrome the mechanism by which aspirin and other salicylates trigger reyes syndrome is not completely understood a reyes-like illness may occur in children with genetic metabolic disorders and other toxic disorders a physician should be consulted before giving a child any aspirin or anti-nausea medicines during a viral illness which can mask the symptoms of rs,Neurological_Disorders_and_StrokeQA
What are the treatments for Reye's Syndrome ?,"There is no cure for RS. Successful management, which depends on early diagnosis, is primarily aimed at protecting the brain against irreversible damage by reducing brain swelling, reversing the metabolic injury, preventing complications in the lungs, and anticipating cardiac arrest. It has been learned that several inborn errors of metabolism mimic RS in that the first manifestation of these errors may be an encephalopathy with liver dysfunction. These disorders must be considered in all suspected cases of RS. Some evidence suggests that treatment in the end stages of RS with hypertonic IV glucose solutions may prevent progression of the syndrome.",Neurological_Disorders_Stroke,train,treatment reyes syndrome,what are the treatments for reyes syndrome,cure successful management depends early diagnosis primarily aimed protecting brain irreversible damage reducing brain swelling reversing metabolic injury preventing complication lung anticipating cardiac arrest learned several inborn error metabolism mimic first manifestation error may encephalopathy liver dysfunction disorder must considered suspected case evidence suggests treatment end stage hypertonic glucose solution may prevent progression syndrome,there is no cure for rs successful management which depends on early diagnosis is primarily aimed at protecting the brain against irreversible damage by reducing brain swelling reversing the metabolic injury preventing complications in the lungs and anticipating cardiac arrest it has been learned that several inborn errors of metabolism mimic rs in that the first manifestation of these errors may be an encephalopathy with liver dysfunction these disorders must be considered in all suspected cases of rs some evidence suggests that treatment in the end stages of rs with hypertonic iv glucose solutions may prevent progression of the syndrome,Neurological_Disorders_and_StrokeQA
What is the outlook for Reye's Syndrome ?,"Recovery from RS is directly related to the severity of the swelling of the brain. Some people recover completely, while others may sustain varying degrees of brain damage. Those cases in which the disorder progresses rapidly and the patient lapses into a coma have a poorer prognosis than those with a less severe course. Statistics indicate that when RS is diagnosed and treated in its early stages, chances of recovery are excellent. When diagnosis and treatment are delayed, the chances for successful recovery and survival are severely reduced. Unless RS is diagnosed and treated successfully, death is common, often within a few days.",Neurological_Disorders_Stroke,train,outlook reyes syndrome,what is the outlook for reyes syndrome,recovery directly related severity swelling brain people recover completely others may sustain varying degree brain damage case disorder progress rapidly patient lapse coma poorer prognosis less severe course statistic indicate diagnosed treated early stage chance recovery excellent diagnosis treatment delayed chance successful recovery survival severely reduced unless diagnosed treated successfully death common often within day,recovery from rs is directly related to the severity of the swelling of the brain some people recover completely while others may sustain varying degrees of brain damage those cases in which the disorder progresses rapidly and the patient lapses into a coma have a poorer prognosis than those with a less severe course statistics indicate that when rs is diagnosed and treated in its early stages chances of recovery are excellent when diagnosis and treatment are delayed the chances for successful recovery and survival are severely reduced unless rs is diagnosed and treated successfully death is common often within a few days,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Reye's Syndrome ?,"Much of the research on RS focuses on answering fundamental questions about the disorder such as how problems in the body's metabolism may trigger the nervous system damage characteristic of RS and what role aspirin plays in this life-threatening disorder. The ultimate goal of this research is to improve scientific understanding, diagnosis and medical treatment of RS.",Neurological_Disorders_Stroke,train,research clinical trial done reyes syndrome,what research or clinical trials is being done for reyes syndrome,much research focus answering fundamental question disorder problem body metabolism may trigger nervous system damage characteristic role aspirin play lifethreatening disorder ultimate goal research improve scientific understanding diagnosis medical treatment,much of the research on rs focuses on answering fundamental questions about the disorder such as how problems in the bodys metabolism may trigger the nervous system damage characteristic of rs and what role aspirin plays in this life-threatening disorder the ultimate goal of this research is to improve scientific understanding diagnosis and medical treatment of rs,Neurological_Disorders_and_StrokeQA
What is (are) Striatonigral Degeneration ?,"Striatonigral degeneration is a neurological disorder caused by a disruption in the connection between two areas of the brain-the striatum and the substantia nigra. These two areas work together to enable balance and movement. Striatonigral degeneration is a type of multiple system atrophy (MSA). Symptoms of the disorder resemble some of those seen in Parkinson's disease, including rigidity, instability, impaired speech, and slow movements.",Neurological_Disorders_Stroke,train,striatonigral degeneration,what is are striatonigral degeneration,striatonigral degeneration neurological disorder caused disruption connection two area brainthe striatum substantia nigra two area work together enable balance movement striatonigral degeneration type multiple system atrophy msa symptom disorder resemble seen parkinson disease including rigidity instability impaired speech slow movement,striatonigral degeneration is a neurological disorder caused by a disruption in the connection between two areas of the brain-the striatum and the substantia nigra these two areas work together to enable balance and movement striatonigral degeneration is a type of multiple system atrophy msa symptoms of the disorder resemble some of those seen in parkinsons disease including rigidity instability impaired speech and slow movements,Neurological_Disorders_and_StrokeQA
What are the treatments for Striatonigral Degeneration ?,"There is no cure for striatonigral degeneration, and treatments for the disorder have variable success. Treatments used for Parkinson's disease are recommended. However, unlike Parkinson's disease, striatonigral degeneration is not responsive to levodopa. Dopamine and anticholinergics provide some benefit. Generally, treatment is reevaluated as the disorder progresses.",Neurological_Disorders_Stroke,train,treatment striatonigral degeneration,what are the treatments for striatonigral degeneration,cure striatonigral degeneration treatment disorder variable success treatment used parkinson disease recommended however unlike parkinson disease striatonigral degeneration responsive levodopa dopamine anticholinergic provide benefit generally treatment reevaluated disorder progress,there is no cure for striatonigral degeneration and treatments for the disorder have variable success treatments used for parkinsons disease are recommended however unlike parkinsons disease striatonigral degeneration is not responsive to levodopa dopamine and anticholinergics provide some benefit generally treatment is reevaluated as the disorder progresses,Neurological_Disorders_and_StrokeQA
What is the outlook for Striatonigral Degeneration ?,Striatonigral degeneration progresses slowly. Some patients have normal life expectancy.,Neurological_Disorders_Stroke,train,outlook striatonigral degeneration,what is the outlook for striatonigral degeneration,striatonigral degeneration progress slowly patient normal life expectancy,striatonigral degeneration progresses slowly some patients have normal life expectancy,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Striatonigral Degeneration ?,The NINDS supports and conducts research on disorders of the brain and nervous system such as striatonigral degeneration. This research focuses on finding ways to prevent and treat these disorders.,Neurological_Disorders_Stroke,train,research clinical trial done striatonigral degeneration,what research or clinical trials is being done for striatonigral degeneration,ninds support conduct research disorder brain nervous system striatonigral degeneration research focus finding way prevent treat disorder,the ninds supports and conducts research on disorders of the brain and nervous system such as striatonigral degeneration this research focuses on finding ways to prevent and treat these disorders,Neurological_Disorders_and_StrokeQA
What is (are) Whiplash ?,"Whiplash-a soft tissue injury to the neck-is also called neck sprain or neck strain. It is characterized by a collection of symptoms that occur following damage to the neck, usually because of sudden extension and flexion. The disorder commonly occurs as the result of an automobile accident and may include injury to intervertebral joints, discs, and ligaments, cervical muscles, and nerve roots. Symptoms such as neck pain may be present directly after the injury or may be delayed for several days. In addition to neck pain, other symptoms may include neck stiffness, injuries to the muscles and ligaments (myofascial injuries), headache, dizziness, abnormal sensations such as burning or prickling (paresthesias), or shoulder or back pain. In addition, some people experience cognitive, somatic, or psychological conditions such as memory loss, concentration impairment, nervousness/irritability, sleep disturbances, fatigue, or depression.",Neurological_Disorders_Stroke,train,whiplash,what is are whiplash,whiplasha soft tissue injury neckis also called neck sprain neck strain characterized collection symptom occur following damage neck usually sudden extension flexion disorder commonly occurs result automobile accident may include injury intervertebral joint disc ligament cervical muscle nerve root symptom neck pain may present directly injury may delayed several day addition neck pain symptom may include neck stiffness injury muscle ligament myofascial injury headache dizziness abnormal sensation burning prickling paresthesia shoulder back pain addition people experience cognitive somatic psychological condition memory loss concentration impairment nervousnessirritability sleep disturbance fatigue depression,whiplash-a soft tissue injury to the neck-is also called neck sprain or neck strain it is characterized by a collection of symptoms that occur following damage to the neck usually because of sudden extension and flexion the disorder commonly occurs as the result of an automobile accident and may include injury to intervertebral joints discs and ligaments cervical muscles and nerve roots symptoms such as neck pain may be present directly after the injury or may be delayed for several days in addition to neck pain other symptoms may include neck stiffness injuries to the muscles and ligaments myofascial injuries headache dizziness abnormal sensations such as burning or prickling paresthesias or shoulder or back pain in addition some people experience cognitive somatic or psychological conditions such as memory loss concentration impairment nervousnessirritability sleep disturbances fatigue or depression,Neurological_Disorders_and_StrokeQA
What are the treatments for Whiplash ?,"Treatment for individuals with whiplash may include pain medications, nonsteroidal anti-inflammatory drugs, antidepressants, muscle relaxants, and a cervical collar (usually worn for 2 to 3 weeks). Range of motion exercises, physical therapy, and cervical traction may also be prescribed. Supplemental heat application may relieve muscle tension.",Neurological_Disorders_Stroke,train,treatment whiplash,what are the treatments for whiplash,treatment individual whiplash may include pain medication nonsteroidal antiinflammatory drug antidepressant muscle relaxant cervical collar usually worn week range motion exercise physical therapy cervical traction may also prescribed supplemental heat application may relieve muscle tension,treatment for individuals with whiplash may include pain medications nonsteroidal anti-inflammatory drugs antidepressants muscle relaxants and a cervical collar usually worn for 2 to 3 weeks range of motion exercises physical therapy and cervical traction may also be prescribed supplemental heat application may relieve muscle tension,Neurological_Disorders_and_StrokeQA
What is the outlook for Whiplash ?,"Generally, prognosis for individuals with whiplash is good. The neck and head pain clears within a few days or weeks. Most patients recover within 3 months after the injury, however, some may continue to have residual neck pain and headaches.",Neurological_Disorders_Stroke,train,outlook whiplash,what is the outlook for whiplash,generally prognosis individual whiplash good neck head pain clear within day week patient recover within month injury however may continue residual neck pain headache,generally prognosis for individuals with whiplash is good the neck and head pain clears within a few days or weeks most patients recover within 3 months after the injury however some may continue to have residual neck pain and headaches,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Whiplash ?,The NINDS conducts and supports research on trauma-related disorders such as whiplash. Much of this research focuses on increasing scientific understanding of these disorders and finding ways to prevent and treat them.,Neurological_Disorders_Stroke,train,research clinical trial done whiplash,what research or clinical trials is being done for whiplash,ninds conduct support research traumarelated disorder whiplash much research focus increasing scientific understanding disorder finding way prevent treat,the ninds conducts and supports research on trauma-related disorders such as whiplash much of this research focuses on increasing scientific understanding of these disorders and finding ways to prevent and treat them,Neurological_Disorders_and_StrokeQA
